Description,Category,Sub_Category
NEFT/FDRL666621043/ONE 97,Transfers_Internal_Movement,External_Transfer
BBPS DT24122018  IMPS GL,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316054519453/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316054795331/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SD1279001248/DHARAMB,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116062424445/DEE,Transfers_Internal_Movement,External_Transfer
NEFT/MAHBH16090571628/M/s,Transfers_Internal_Movement,External_Transfer
NEFT/SD1290309312/VIDYART,Transfers_Internal_Movement,External_Transfer
NEFT/BARBH16098696964/MOT,Transfers_Internal_Movement,External_Transfer
NEFT/SAA33261155/SANJEET,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16104834588/KAV,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16107289293/M S,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16111600591/KRI,Transfers_Internal_Movement,External_Transfer
NEFT/STBP916112924171/UNI,Transfers_Internal_Movement,External_Transfer
NEFT/SD1293975857/JAI RAM,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116116210635/PAD,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16126554823/NAS,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216127966232/RAV,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16132151302/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/IBKL160512086896/SUN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716133295639/PRA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816134053552/KAS,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816134469009/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SFB52108866/SUMAN EN,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16138124492/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16140123873/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16141481959/KRI,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616148454741/ARJ,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16152A05238/MAN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616159262965/dee,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616160853986/MOH,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616160853413/ABB,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16161554131/DEE,Transfers_Internal_Movement,External_Transfer
